"Date","Effective Tax Rate","Earnings Before Interest and Taxes","symbol"
1999-12-31,0.37876,3867,"MMM"
2000-12-31,0.34465,3898.3644,"MMM"
2001-12-31,0.32113,3264.0369,"MMM"
2002-12-31,0.32146,3046,"MMM"
2003-12-31,0.32868,4827.8336,"MMM"
2004-12-31,0.32997,5120.3638,"MMM"
2005-12-31,0.34698,5593,"MMM"
2006-12-31,0.30631,6325,"MMM"
2007-12-31,0.33917,6193,"MMM"
2008-12-31,0.33438,5218,"MMM"
2009-12-31,0.32168,4814,"MMM"
2010-12-31,0.26203,5918,"MMM"
2011-12-31,0.2776,6178,"MMM"
2002-12-31,0,0,"ACE"
2005-12-31,0.22286,0,"ACE"
2006-12-31,0.1834,0,"ACE"
2007-12-31,0.1789,0,"ACE"
1999-12-31,0.28,4161.6,"ABT"
2000-12-31,0.27,4089.40525,"ABT"
2001-12-31,0.08385,4392.4565,"ABT"
2002-12-31,0.24509,3940.9,"ABT"
2003-12-31,0.21998,5323.6023,"ABT"
2004-12-31,0.21446,4257.124,"ABT"
2005-12-31,0.24306,4796.3,"ABT"
2006-12-31,0.23477,4786.2,"ABT"
2007-12-31,0.193,4928.5,"ABT"
2008-12-31,0.1916,5693.9,"ABT"
2009-12-31,0.16951,6781.3,"ABT"
2010-12-31,0.15042,8037.8,"ABT"
2011-12-31,0.1514,9066,"ABT"
2000-01-29,0.39999,269.8,"ANF"
2001-01-29,0.39518,284.40048,"ANF"
2002-01-29,0.39003,312.6052,"ANF"
2003-01-29,0.38386,312.6,"ANF"
2004-01-29,0.38838,398.259,"ANF"
2005-01-29,0.38463,380.5248,"ANF"
2006-01-29,0.39211,556.2,"ANF"
2007-01-29,0.37173,658.1,"ANF"
2008-01-29,0.37353,740.5,"ANF"
2009-01-29,0.39601,439.4,"ANF"
2010-01-29,0.33939,117.9,"ANF"
2011-01-29,0.34252,232,"ANF"
2012-01-29,0.3196,190,"ANF"
2002-08-31,0.63234,2925.5864,"ACN"
2003-08-31,0.38044,1495.9,"ACN"
2004-08-31,0.32,2016.1542,"ACN"
2005-08-31,0.3298,2022.2251,"ACN"
2006-08-31,0.255,1841.1,"ACN"
2007-08-31,0.34207,2492.6,"ACN"
2008-08-31,0.293,3011.6,"ACN"
2009-08-31,0.28545,2896.9,"ACN"
2010-08-31,0.293,2924.4,"ACN"
2011-08-31,0.273,3470.4,"ACN"
2012-08-31,0.2764,3872,"ACN"
1999-11-30,0.36648,338.5,"ADBE"
2000-11-30,0.3514,458.31016,"ADBE"
2001-11-30,0.33,461.4401,"ADBE"
2002-11-30,0.32,325.9,"ADBE"
2003-11-30,0.3,427.8983,"ADBE"
2004-11-30,0.26,591.8406,"ADBE"
2005-11-30,0.251,728.5,"ADBE"
2006-11-30,0.25586,551.3,"ADBE"
2007-11-30,0.23584,857.5,"ADBE"
2008-11-30,0.19165,1028.2,"ADBE"
2009-11-30,0.44904,690.5,"ADBE"
2010-11-30,0.17863,993.1,"ADBE"
2011-11-30,0.1955,1099,"ADBE"
1999-12-27,0,232.8,"AMD"
2000-12-27,0.14087,1468.03162,"AMD"
2001-12-27,0.58848,660.7888,"AMD"
2002-12-27,0,-848.6071,"AMD"
2003-12-27,0,802.3776,"AMD"
2004-12-27,0.06997,276.12,"AMD"
2005-12-27,0,231.7,"AMD"
2006-12-27,0.06233,448,"AMD"
2007-12-27,0,-958,"AMD"
2008-12-27,0,-832,"AMD"
2009-12-27,0,-443,"AMD"
2010-12-27,0,622,"AMD"
2011-12-27,0,495,"AMD"
1999-12-31,0.29374,1203,"AES"
2000-12-31,0.2473,2196.6553,"AES"
2001-12-31,0.287,3040.9751,"AES"
2002-12-31,0.31299,2291.9,"AES"
2003-12-31,0.30313,3057.1695,"AES"
2004-12-31,0.25886,2647.9508,"AES"
2005-12-31,0.31893,2957,"AES"
2006-12-31,0.31024,3326,"AES"
2007-12-31,0.48205,3030,"AES"
2008-12-31,0.28149,3336,"AES"
2009-12-31,0.25547,3150,"AES"
2010-12-31,0.29406,3572,"AES"
2011-12-31,0.2919,3743,"AES"
1999-12-31,0.43746,2068.5,"AET"
2000-12-31,0.37102,1144.1934,"AET"
2001-12-31,0,363.8775,"AET"
2002-12-31,0.27827,646.3,"AET"
2003-12-31,0.35225,1594.5067,"AET"
2004-12-31,0.3601,1863.9415,"AET"
2005-12-31,0.40455,2370.1,"AET"
2006-12-31,0.34834,2576.7,"AET"
2007-12-31,0.34523,3026.5,"AET"
2008-12-31,0.36329,3319.6,"AET"
2009-12-31,0.32855,2181.4,"AET"
2010-12-31,0.33183,2677.8,"AET"
2011-12-31,0.3549,3462,"AET"
1999-12-31,0.3509,0,"AFL"
2002-12-31,0.34567,0,"AFL"
2005-12-31,0.34216,0,"AFL"
2006-12-31,0.34416,0,"AFL"
2007-12-31,0.34601,0,"AFL"
1999-10-31,0.34943,1216,"A"
2000-10-31,0.34947,1548.0801,"A"
2001-10-31,0,-835.991,"A"
2002-10-31,0,-1570.991,"A"
2003-10-31,0,-328.8408,"A"
2004-10-31,0.20682,421.7914,"A"
2005-10-31,0.25289,526,"A"
2006-10-31,0.33376,625,"A"
2007-10-31,0.21087,687,"A"
2008-10-31,0.18085,826,"A"
2009-10-31,0.6,47,"A"
2010-10-31,0.01266,566,"A"
2011-10-31,0.0194,1071,"A"
1999-12-31,0.34692,348.9,"GAS"
2000-12-31,0.34768,386.31061,"GAS"
2001-12-31,0.3348,380.0885,"GAS"
2002-12-31,0.31034,345.3,"GAS"
2003-12-31,0.35212,307.2756,"GAS"
2004-12-31,0.3178,176.1365,"GAS"
2005-12-31,0.28349,171.8,"GAS"
2006-12-31,0.26307,266.4,"GAS"
2007-12-31,0.26641,354.8,"GAS"
2008-12-31,0.27045,185,"GAS"
2009-12-31,0.32453,220.3,"GAS"
2010-12-31,0.35897,546,"GAS"
2011-12-31,0.4019,565,"GAS"
2000-09-30,0.30404,1232.2,"APD"
2001-09-30,0.25118,1378.25591,"APD"
2002-09-30,0.3069,1393.9106,"APD"
2003-09-30,0.34898,765.7,"APD"
2004-09-30,0.28291,1370.9222,"APD"
2005-09-30,0.26615,851.87,"APD"
2006-09-30,0.26391,971.3,"APD"
2007-09-30,0.23555,1060,"APD"
2008-09-30,0.25028,1355.4,"APD"
2009-09-30,0.24702,1500.3,"APD"
2010-09-30,0.24792,1154.4,"APD"
2011-09-30,0.25826,1451.4,"APD"
2012-09-30,0.2488,1634,"APD"
2000-03-31,0.42339,204.5,"ARG"
2001-03-31,0.42104,205.73007,"ARG"
2002-03-31,0.37525,206.4855,"ARG"
2003-03-31,0.37673,158.6,"ARG"
2004-03-31,0.37206,255.703,"ARG"
2005-03-31,0.36778,203.3288,"ARG"
2006-03-31,0.37406,271.6,"ARG"
2007-03-31,0.38843,341.5,"ARG"
2008-03-31,0.38889,476.1,"ARG"
2009-03-31,0.3919,524.9,"ARG"
2010-03-31,0.37504,399.6,"ARG"
2011-03-31,0.385,512.8,"ARG"
2012-03-31,0.3633,573,"ARG"
1999-12-31,0,-53,"AKAM"
2000-12-31,0,-155.49768,"AKAM"
2001-12-31,0,-99.4806,"AKAM"
2002-12-31,0,-136.6985,"AKAM"
2003-12-31,0,30.0824,"AKAM"
2004-12-31,0.07496,48.967,"AKAM"
2005-12-31,0,73.3,"AKAM"
2006-12-31,0.41707,83.1,"AKAM"
2007-12-31,0.39974,144.9,"AKAM"
2008-12-31,0.38117,212.2,"AKAM"
2009-12-31,0.38494,240.6,"AKAM"
2010-12-31,0.34742,271,"AKAM"
2011-12-31,0.346,291,"AKAM"
1999-12-31,0.29908,2821,"AA"
2000-12-31,0.33499,4302.7936,"AA"
2001-12-31,0.33348,3523.0291,"AA"
2002-12-31,0.33813,1539,"AA"
2003-12-31,0.24206,2877.2352,"AA"
2004-12-31,0.25489,2186.2232,"AA"
2005-12-31,0.34576,2398.7,"AA"
2006-12-31,0.25132,4166,"AA"
2007-12-31,0.37752,3511,"AA"
2008-12-31,0.43182,2079,"AA"
2009-12-31,0,-952,"AA"
2010-12-31,0.27007,1254,"AA"
2011-12-31,0.2122,1781,"AA"
1999-12-31,0,-7.1,"ALXN"
2000-12-31,0,-53.08348,"ALXN"
2001-12-31,0,-58.47,"ALXN"
2002-12-31,0,-82.869,"ALXN"
2003-12-31,0,-65.9677,"ALXN"
2004-12-31,0,-113.2745,"ALXN"
2005-12-31,0,-113.2745,"ALXN"
2006-12-31,0,-3.7,"ALXN"
2007-12-31,0,-99.7504,"ALXN"
2008-12-31,0.04552,34.6,"ALXN"
2009-12-31,0.04359,87,"ALXN"
2010-12-31,0.34884,150.6,"ALXN"
2011-12-31,0.2367,231,"ALXN"
1999-12-31,0.3628,284.4,"ATI"
2000-12-31,0.35981,357.9882,"ATI"
2001-12-31,0.31398,165.601,"ATI"
2002-12-31,0,-25,"ATI"
2003-12-31,0,-110.4318,"ATI"
2004-12-31,0,11.6293,"ATI"
2005-12-31,0,350.5,"ATI"
2006-12-31,0.34204,897.5,"ATI"
2007-12-31,0.34882,1152.7,"ATI"
2008-12-31,0.35008,861.2,"ATI"
2009-12-31,0.37206,92.7,"ATI"
2010-12-31,0.30072,185.4,"ATI"
2011-12-31,0.3152,461,"ATI"
1999-12-31,0.31647,323.4,"AGN"
2000-12-31,0.29114,368.61734,"AGN"
2001-12-31,0.29117,434.394,"AGN"
2002-12-31,0.28205,304.4,"AGN"
2003-12-31,0.28705,497.4804,"AGN"
2004-12-31,0.30088,527.3787,"AGN"
2005-12-31,0.25412,614.7,"AGN"
2006-12-31,0.19203,576.1,"AGN"
2007-12-31,0.27086,821.4,"AGN"
2008-12-31,0.27035,1103.8,"AGN"
2009-12-31,0.28124,1268.4,"AGN"
2010-12-31,0.28677,1426.6,"AGN"
2011-12-31,0.2372,1389,"AGN"
1999-12-31,0.29383,-20389,"ALL"
2002-12-31,0.16146,0,"ALL"
2005-12-31,0.15469,0,"ALL"
2006-12-31,0.3044,0,"ALL"
2007-12-31,0.30317,0,"ALL"
2004-12-20,0.0821,67.0339,"ANR"
2005-12-20,0.21102,118.6,"ANR"
2006-12-20,0.23586,157.8,"ANR"
2007-12-20,0.23848,74.1,"ANR"
2008-12-20,0.28399,260.2,"ANR"
2009-12-20,0,328.2,"ANR"
2010-12-20,0.25813,400.5,"ANR"
2011-12-20,0,176,"ANR"
1999-12-31,0.32334,335.4,"ALTR"
2000-12-31,0.31,567.51696,"ALTR"
2001-12-31,0.3,203.2549,"ALTR"
2002-12-31,0.26,97.4,"ALTR"
2003-12-31,0.27,243.445,"ALTR"
2004-12-31,0.22,314.8727,"ALTR"
2005-12-31,0.21905,322.2,"ALTR"
2006-12-31,0.1013,301.1,"ALTR"
2007-12-31,0.141,274.9,"ALTR"
2008-12-31,0.142,404.3,"ALTR"
2009-12-31,0.1783,304.6,"ALTR"
2010-12-31,0.09788,868.4,"ALTR"
2011-12-31,0.0922,849,"ALTR"
1999-12-31,0.39543,15774,"MO"
2000-12-31,0.3904,16987.2584,"MO"
2001-12-31,0.37869,19053.0977,"MO"
2002-12-31,0.35179,17152,"MO"
2003-12-31,0.34898,16947.4072,"MO"
2004-12-31,0.32419,16306.039,"MO"
2005-12-31,0.29919,17357,"MO"
2006-12-31,0.26312,17931,"MO"
2007-12-31,0.31459,13699,"MO"
2008-12-31,0.3375,4924,"MO"
2009-12-31,0.25302,5903,"MO"
2010-12-31,0.31732,6008,"MO"
2011-12-31,0.3922,6043,"MO"
1999-12-31,0,-315.5,"AMZN"
2000-12-31,0,-232.5604,"AMZN"
2001-12-31,0,35.0649,"AMZN"
2002-12-31,0,111.1,"AMZN"
2003-12-31,0,348.9833,"AMZN"
2004-12-31,0,432.3087,"AMZN"
2005-12-31,0.21963,480,"AMZN"
2006-12-31,0.49602,389,"AMZN"
2007-12-31,0.27879,664,"AMZN"
2008-12-31,0.26092,818,"AMZN"
2009-12-31,0.21792,1231,"AMZN"
2010-12-31,0.23514,1406,"AMZN"
2011-12-31,0.3116,862,"AMZN"
1999-12-31,0.39424,1172,"AEE"
2000-12-31,0.39066,1322.5394,"AEE"
2001-12-31,0.38417,1364.017,"AEE"
2002-12-31,0.3888,886,"AEE"
2003-12-31,0.36797,1599.2826,"AEE"
2004-12-31,0.34265,1067.884,"AEE"
2005-12-31,0.356,1284,"AEE"
2006-12-31,0.35813,1093,"AEE"
2007-12-31,0.33469,1342,"AEE"
2008-12-31,0.33677,1362,"AEE"
2009-12-31,0.34728,1416,"AEE"
2010-12-31,0.36808,1505,"AEE"
2011-12-31,0.3725,1366,"AEE"
2000-09-25,0.32828,2019,"AEP"
2001-09-25,0.66088,3372.8322,"AEP"
2002-09-25,0.36041,3807.7351,"AEP"
2003-09-25,0.25211,2130,"AEP"
2004-09-25,0.38844,3580.979,"AEP"
2005-09-25,0.33119,1990.7437,"AEP"
2006-09-25,0.29332,1927,"AEP"
2007-09-25,0.33037,2175,"AEP"
2008-09-25,0.31084,2319,"AEP"
2009-09-25,0.31268,2532,"AEP"
