financialsDate,effectiveTaxRate,earningsBeforeInterestAndTaxes,symbol,financialsYear,company,sector
"1999-12-31",0.37876,3867,"MMM",1999,"3M","Industrials"
"2000-12-31",0.34465,3898.3644,"MMM",2000,"3M","Industrials"
"2001-12-31",0.32113,3264.0369,"MMM",2001,"3M","Industrials"
"2002-12-31",0.32146,3046,"MMM",2002,"3M","Industrials"
"2003-12-31",0.32868,4827.8336,"MMM",2003,"3M","Industrials"
"2004-12-31",0.32997,5120.3638,"MMM",2004,"3M","Industrials"
"2005-12-31",0.34698,5593,"MMM",2005,"3M","Industrials"
"2006-12-31",0.30631,6325,"MMM",2006,"3M","Industrials"
"2007-12-31",0.33917,6193,"MMM",2007,"3M","Industrials"
"2008-12-31",0.33438,5218,"MMM",2008,"3M","Industrials"
"2009-12-31",0.32168,4814,"MMM",2009,"3M","Industrials"
"2010-12-31",0.26203,5918,"MMM",2010,"3M","Industrials"
"2011-12-31",0.2776,6178,"MMM",2011,"3M","Industrials"
"2002-12-31",0,0,"ACE",2002,"ACE Limited","Financials"
"2005-12-31",0.22286,0,"ACE",2005,"ACE Limited","Financials"
"2006-12-31",0.1834,0,"ACE",2006,"ACE Limited","Financials"
"2007-12-31",0.1789,0,"ACE",2007,"ACE Limited","Financials"
"1999-12-31",0.28,4161.6,"ABT",1999,"Abbott Laboratories","Health Care"
"2000-12-31",0.27,4089.40525,"ABT",2000,"Abbott Laboratories","Health Care"
"2001-12-31",0.08385,4392.4565,"ABT",2001,"Abbott Laboratories","Health Care"
"2002-12-31",0.24509,3940.9,"ABT",2002,"Abbott Laboratories","Health Care"
"2003-12-31",0.21998,5323.6023,"ABT",2003,"Abbott Laboratories","Health Care"
"2004-12-31",0.21446,4257.124,"ABT",2004,"Abbott Laboratories","Health Care"
"2005-12-31",0.24306,4796.3,"ABT",2005,"Abbott Laboratories","Health Care"
"2006-12-31",0.23477,4786.2,"ABT",2006,"Abbott Laboratories","Health Care"
"2007-12-31",0.193,4928.5,"ABT",2007,"Abbott Laboratories","Health Care"
"2008-12-31",0.1916,5693.9,"ABT",2008,"Abbott Laboratories","Health Care"
"2009-12-31",0.16951,6781.3,"ABT",2009,"Abbott Laboratories","Health Care"
"2010-12-31",0.15042,8037.8,"ABT",2010,"Abbott Laboratories","Health Care"
